Convoluted_Layers,Convoluted_Filters,Hidden_Layer1,Hidden_Layer2,Learning_Rate,Batch_Size,Loss
29,2,32,26,0.0022527882957223576,33,0.30819615721702576
25,1,44,27,0.00916127418922569,124,0.5059492588043213
20,3,53,29,0.0009476246526792264,73,1.1227827072143555
28,2,48,23,0.00970214400736237,127,0.26183003187179565
25,2,33,25,0.004107089046229093,115,0.38314539194107056
25,3,52,28,0.0009002666394162526,40,0.36147594451904297
28,3,50,17,0.008707052100881693,61,0.1243693083524704
28,2,39,30,0.0060140474034782974,52,0.1802636682987213
31,3,44,25,0.008598207926146356,80,0.1366860419511795
23,1,37,28,0.003454292317297416,127,0.6501845121383667
17,3,62,28,0.001994602018716125,100,0.4397944211959839
19,2,44,18,0.0010943270208143435,70,1.0650819540023804
26,3,49,26,0.009606049102770266,42,0.09913918375968933
32,3,52,31,0.007429339432294186,64,0.14165394008159637
29,1,39,26,0.005595241943878028,83,0.5545757412910461
21,1,49,16,0.0006799175618769286,87,2.2206637859344482
27,1,33,31,0.002103690855769423,99,2.000293254852295
21,3,61,22,0.0012910717954214904,98,1.1824548244476318
30,1,49,30,0.006992604834340071,60,0.44170039892196655
21,3,40,18,0.009755463681048397,66,0.12671901285648346
31,2,58,25,0.004979942271432261,81,0.26556769013404846
27,2,63,18,0.009453356203922519,94,0.1967850625514984
26,1,58,25,0.0057010090511529716,56,0.4684973657131195
18,2,59,28,0.004410850530116008,57,0.2284700870513916
29,2,60,29,0.0032787003099895595,64,0.31398531794548035
31,1,34,18,0.005933290818520533,81,0.536763072013855
32,3,40,28,0.009711216764171353,72,0.12520061433315277
23,1,40,24,0.007784633822074419,79,0.4764813482761383
19,2,44,17,0.00018764505484580233,112,2.289163827896118
27,2,36,19,0.0021157361955313134,102,0.8713871240615845
26,3,54,23,0.007518133960127853,100,0.19218504428863525
25,2,45,31,0.0018116356288816423,78,0.4710811972618103
16,2,61,18,0.008433470582730458,94,0.20655778050422668
29,2,50,22,0.009428824472218437,112,0.22714249789714813
29,3,38,26,0.006757424540128955,101,0.23901431262493134
30,3,63,32,0.006232268077819551,84,0.17560870945453644
29,1,43,26,0.007916909028516415,96,0.49528685212135315
22,2,48,32,0.0021784047274490993,51,0.36014020442962646
21,1,59,29,0.006569870249108802,44,0.42014339566230774
22,1,43,30,0.007171061160966655,125,0.5405078530311584
20,1,57,24,0.006058771584171169,55,0.4492599070072174
30,2,49,31,0.007476458865366492,123,0.30904972553253174
26,1,62,29,0.009764152874247046,93,0.4622235596179962
25,2,33,26,0.008253474248080754,62,0.18242131173610687
30,2,44,32,0.00818095152521576,119,0.26337024569511414
28,2,40,28,0.005134149745747484,121,0.34859174489974976
29,3,62,24,0.0036250838748427116,58,0.19984808564186096
17,3,53,20,0.00747703274394219,56,0.12266033887863159
27,3,63,27,0.0018746989920308923,75,0.3632309138774872
21,1,37,16,0.0008206045907416819,89,2.262265920639038
27,2,46,25,0.00035557160331606724,94,2.234877824783325
28,2,39,21,0.006395147118322671,60,0.04992504417896271
17,3,56,16,0.0003068521185011123,99,0.08993644267320633
24,2,57,21,0.005012831003680752,86,0.03730446845293045
23,2,54,29,0.0011612981580669444,47,0.03631724789738655
17,2,55,24,0.0062854393225148,87,0.039286211133003235
23,3,45,25,0.007848839262502218,44,0.07999900728464127
20,1,36,20,0.00030361460832567354,78,0.39075857400894165
17,3,59,30,0.0019192707941717015,88,0.029044147580862045
20,1,42,27,0.004903233727226657,79,0.21847811341285706
16,1,32,23,0.004083930661135362,49,0.26513198018074036
19,2,49,21,0.008571610743565694,122,0.044119615107774734
31,2,63,31,0.006305600872056663,41,0.06387609243392944
30,3,53,32,0.006039228953284383,63,0.0431048721075058
25,3,58,19,0.0025806960199861104,124,0.024855514988303185
32,2,54,27,0.006012589681293937,65,0.04181625694036484
