Name,Convoluted_Layers,Convoluted_Filters,Hidden_Layer1,Hidden_Layer2,Learning_Rate,Batch_Size,Loss
Ftrl,22,1,40,22,0.0017272593424349683,72,2.3016889095306396
SGD,16,3,49,19,0.003707428515911357,34,0.16732291877269745
RMSprop,28,3,60,22,0.009378551006507889,53,0.09022156894207001
Adafactor,29,3,48,27,0.004950143807286749,41,nan
RMSprop,32,2,47,22,0.007912951830565017,64,0.053650569170713425
Ftrl,27,3,34,32,0.0005079899495225036,98,2.3022425174713135
AdamW,18,2,52,28,0.0074507689662618405,43,0.05447869375348091
RMSprop,31,3,35,28,0.0013159338820582494,67,0.028550751507282257
Adafactor,24,3,47,27,0.0011659005365370582,45,nan
Nadam,22,2,46,22,0.005885155080652642,93,0.03318360075354576
Adamax,20,1,57,31,0.001955070413674129,124,0.27910497784614563
Adagrad,31,2,62,28,0.001242973793548863,108,0.5433183312416077
Adafactor,27,3,46,24,0.0037126947718106253,47,nan
RMSprop,23,3,53,20,0.003655564537918231,101,0.027704935520887375
Adagrad,19,3,54,30,0.005123389638005831,109,0.1836404651403427
Ftrl,22,1,32,21,0.002968684208549636,67,2.301410436630249
AdamW,17,3,56,28,0.00951039836999265,105,0.04577775299549103
Adam,29,2,48,24,0.0007902712856628474,94,0.051845695823431015
Ftrl,23,2,47,30,0.008914036098983924,61,2.3011903762817383
Nadam,19,3,37,31,0.008457566526380104,47,0.05244889482855797
Adadelta,32,3,58,23,0.0037324423909355082,109,1.5293503999710083
Adagrad,30,1,32,30,0.002377918844449355,80,0.7357712388038635
Adafactor,22,1,50,16,0.004939482193687958,122,nan
Adagrad,32,1,43,20,0.009586333477682247,97,0.3958908021450043
SGD,28,2,39,32,0.008352575993230636,105,0.24949952960014343
Nadam,31,1,44,26,0.0025670391969491654,102,0.24199967086315155
Ftrl,30,1,38,17,0.008504823793224205,81,2.30119252204895
Adadelta,28,1,34,31,0.003187086917851918,83,2.241309642791748
Adamax,23,1,50,22,0.006996462186965974,54,0.23899349570274353
Nadam,20,3,52,16,0.004832230080389862,41,0.03661045804619789
SGD,31,2,34,30,0.008063045640587276,91,0.2228354513645172
Adamax,24,1,44,24,0.002383220268456472,74,0.29375892877578735
Adam,24,1,44,26,0.0061037887644657535,58,0.3121976852416992
AdamW,31,2,40,23,0.001172723263431181,93,0.04547060653567314
RMSprop,16,1,50,22,0.00026542917005508457,48,0.3666088581085205
Adafactor,27,3,48,28,0.006671932475039865,68,nan
RMSprop,17,3,42,22,0.005267307698376346,102,0.03421083465218544
Adagrad,26,2,60,27,0.007892435674064419,103,0.16355352103710175
Adagrad,16,3,52,24,0.0034481580621843685,117,0.22121286392211914
Adadelta,27,3,43,20,0.0008313909932206866,37,2.235386371612549
Adam,27,2,43,21,0.009833332810796297,75,0.04546615108847618
Adam,20,3,33,31,0.0012133134063487345,43,0.03387106955051422
Adafactor,17,1,42,25,0.009054733864986028,122,nan
AdamW,21,3,41,28,0.000582388462861167,49,0.0441691055893898
Adagrad,30,1,42,20,0.0033947539929594273,91,0.5659573078155518
Adam,19,2,45,19,0.0031251932688797185,77,0.03960312157869339
AdamW,27,1,35,29,0.007158167042771492,67,0.22208376228809357
Adamax,28,2,63,26,0.003963012616989606,115,0.04381835088133812
Adadelta,18,1,55,20,0.0035089291805074593,104,2.2441446781158447
Adafactor,30,2,60,28,0.006429698200610807,118,nan
SGD,20,2,44,23,0.005419046530170627,73,0.258637934923172
AdamW,27,2,54,24,0.006638225314411696,64,0.03997278958559036
Adagrad,17,3,43,23,0.004311140887122331,113,0.22986185550689697
Adamax,19,3,60,23,0.00536135878271799,66,0.03284449875354767
AdamW,18,3,56,19,0.0015059260125177387,54,0.03269561007618904
AdamW,31,2,51,28,0.000764894771893898,42,0.038350660353899
Adam,32,3,54,29,0.0013513176082902186,96,0.03166840597987175
Ftrl,20,3,54,16,0.009414913823803354,123,2.3011958599090576
RMSprop,29,3,62,22,0.0021720356424345935,87,0.023207860067486763
Adagrad,21,1,54,24,0.001472292676918969,53,0.7784262895584106
Adamax,31,3,33,18,0.00017668219128122892,74,0.1889011710882187
Adadelta,26,2,37,31,0.0035838917391680814,45,1.582100510597229
Adamax,18,2,51,16,0.007983505333184716,56,0.03277304023504257
Adadelta,28,2,54,21,0.005282235532400512,58,1.2194039821624756
Adadelta,32,2,57,32,0.0073184181845095285,40,0.49864283204078674
AdamW,26,2,46,32,0.006857256011689123,128,0.040250662714242935
RMSprop,30,2,34,32,0.0034340976287633353,114,0.03220105916261673
Adam,24,2,48,25,0.009324622452091686,48,0.06158924102783203
Adadelta,25,2,48,19,0.0017142445686645674,67,2.205495834350586
Adadelta,26,2,32,18,0.008513796459287392,70,0.8394861817359924
RMSprop,30,1,38,17,0.0019036718814659254,73,0.2990476191043854
Adadelta,23,2,40,28,0.0030416960822606705,64,1.9716798067092896
Adadelta,32,1,57,30,0.002009271786762015,116,2.260422945022583
Adadelta,26,3,36,18,0.0024864216057727605,59,1.8040765523910522
RMSprop,21,1,63,19,0.007081383471660939,82,0.3110457956790924
Adamax,22,2,50,20,0.00513905987962707,121,0.05039752647280693
Adamax,32,3,38,20,0.0039600162528769635,49,0.030877092853188515
RMSprop,29,2,54,28,0.00935130666108097,82,0.05560833588242531
Ftrl,30,2,58,27,0.004320710711465519,35,2.3012702465057373
Adamax,30,3,50,17,0.002255394178643505,103,0.04738091304898262
RMSprop,24,2,46,16,0.0037517193145774116,60,0.031907666474580765
Ftrl,27,2,39,17,0.0023752074168044055,48,2.3014988899230957
Nadam,16,1,43,24,0.0011626508516336827,113,0.2980808913707733
SGD,18,2,63,29,0.002923022683082129,127,0.5919978022575378
Adadelta,28,3,38,32,0.00022420066498095992,74,2.2984719276428223
AdamW,22,1,36,17,0.003589517521359729,48,0.28731465339660645
RMSprop,26,3,59,24,0.00492413903129983,101,0.02841258980333805
Adam,27,1,49,19,0.0048536105428706785,42,0.31696999073028564
Nadam,32,3,57,31,0.008622911550531714,112,0.03378897160291672
RMSprop,25,3,57,32,0.0003425589874916359,79,0.0604562945663929
Adagrad,17,3,60,25,0.002467122453486039,118,0.30738404393196106
Adadelta,26,3,52,20,0.0002832731068589717,89,2.2955405712127686
RMSprop,28,3,53,23,0.009366305704311911,87,0.054238297045230865
Adafactor,31,1,38,32,0.004423678875118211,74,nan
Ftrl,28,1,47,30,0.009266496988439931,48,2.301192045211792
Adamax,20,1,42,17,0.002149329483548787,108,0.3102133572101593
Adamax,20,1,36,18,0.006414971040236615,116,0.2992405891418457
Adagrad,19,2,42,17,0.003848777661407846,93,0.3045666217803955
Adafactor,29,1,42,30,0.002726099082458724,99,nan
RMSprop,19,3,39,32,0.007577068493247812,120,0.0407581552863121
AdamW,30,2,41,28,0.004025702425949523,39,0.0396009124815464
Adadelta,28,1,50,26,0.005185866407408223,58,1.5615674257278442
Adagrad,16,2,51,26,0.004406135839548081,68,0.22340813279151917
Adagrad,30,2,58,24,0.00039723837136982596,106,1.9592466354370117
Ftrl,16,2,38,26,0.00036042454337065536,111,2.3023388385772705
AdamW,17,2,60,30,0.006933527179267462,85,0.042109228670597076
Adagrad,23,2,53,19,0.008933698566381867,92,0.1697305142879486
RMSprop,27,2,53,18,0.0002818725159176277,69,0.07708918303251266
Ftrl,26,3,54,22,0.0003552433615835138,47,2.30230975151062
RMSprop,19,3,38,24,0.004859003788732351,45,0.04802219942212105
Adam,21,2,41,32,0.003078348657485547,117,0.03493640944361687
AdamW,32,2,56,24,0.00458131400767339,89,0.03150050342082977
RMSprop,31,1,47,32,0.00773996442520372,98,0.2704041600227356
Adam,26,3,42,21,0.007572617684793804,62,0.04619988426566124
Nadam,18,1,51,32,0.0005469683603050808,100,0.32013261318206787
Adamax,25,1,51,23,0.008409374151255759,118,0.22234758734703064
Adafactor,17,3,52,23,0.00715853596704764,115,nan
Adam,31,1,39,25,0.0030120850458084996,116,0.23933370411396027
Nadam,18,1,33,16,0.00518260461146251,106,0.20575298368930817
RMSprop,32,3,53,30,0.006239667467549719,116,0.034337375313043594
Adamax,22,1,40,26,0.0021922044622936423,104,0.31771546602249146
Adamax,32,2,33,25,0.0030491312918203783,85,0.049216825515031815
Adadelta,30,3,32,17,0.008146064760603347,75,1.1500835418701172
AdamW,29,1,57,30,0.007776364627671001,48,0.314155638217926
RMSprop,22,2,53,23,0.009219204280142808,53,0.07564970850944519
Adamax,29,1,39,19,0.008920462262591128,82,0.27771633863449097
SGD,26,1,34,24,0.002089301635930286,127,2.036694288253784
Adafactor,25,1,37,24,0.006989346450066422,34,nan
Adagrad,20,2,64,19,0.006309855454224754,56,0.15405747294425964
Nadam,19,2,48,28,0.009052905137822793,58,0.05160815268754959
RMSprop,27,3,38,22,0.004508892264653139,111,0.03019852004945278
Adadelta,23,2,59,17,0.005788418607763478,95,1.7352163791656494
Adagrad,31,3,40,16,0.003723326090967397,120,0.2036609649658203
RMSprop,18,2,61,32,0.006557774007198492,78,0.04187675938010216
Nadam,20,1,54,30,0.0014012667577400536,111,0.2525630295276642
Nadam,25,1,57,22,0.006086486306786844,58,0.22375792264938354
Adam,16,3,33,28,0.0061508630511514645,36,0.04900357499718666
RMSprop,22,3,36,31,0.0014387406200811336,93,0.033878158777952194
Adadelta,29,2,44,17,0.009369835545340188,128,0.9221550822257996
Nadam,24,1,38,26,0.00817154117655331,87,0.31699201464653015
